Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
236,Dennis Northcutt\NortDe00,DET,WR,32,16,2,0,0,0,0,0,0,0,,0,63,35,357,10.20,1,,,42,75,78.7,57.2,,93,
237,Chris Redman\RedmCh00,ATL,QB,32,6,2,69,119,781,4,3,6,4,0.67,0,0,0,0,,0,,,42,41,47.1,43.6,,43,
238,David Thomas\ThomDa02,NOR,RB,26,15,8,0,0,0,0,0,0,0,,0,48,35,356,10.17,1,,,42,77,79.6,59.1,,74,
239,Brandon Gibson\GibsBr00,2TM,WR,22,10,4,0,0,0,0,0,0,0,,0,69,34,348,10.24,1,,,41,73,76.8,55.8,,94,
240,Derek Anderson\AndeDe00,CLE,QB,26,8,7,81,182,888,3,10,10,8,0.80,2,0,0,0,,0,,,40,35,50.8,45.3,,44,
241,Randy McMichael\McMiRa01,STL,TE,30,16,16,0,0,0,0,0,0,0,,0,62,34,332,9.76,1,,,39,73,76.2,56.2,,29,
242,Bernard Scott\ScotBe00,CIN,RB,25,13,2,0,0,0,0,0,74,321,4.34,0,8,5,67,13.40,0,,,39,49,52.3,46.3,,75,
243,Sammie Stroughter\StroSa00,TAM,WR,23,13,0,0,0,0,0,0,0,0,,0,60,31,334,10.77,1,,,39,76,79.4,60.9,,95,
244,Danny Amendola\AmenDa00,STL,WR,24,14,2,0,0,0,0,0,3,-2,-0.67,0,63,43,326,7.58,1,,,38,77,82.4,55.9,,96,
245,Joel Dreessen\DreeJo00,HOU,TE,27,16,11,0,0,0,0,0,0,0,,0,39,26,320,12.31,1,,,38,64,67.0,51.0,,30,
246,John Paul Foschi\FoscJo00,CIN,TE,27,15,10,0,0,0,0,0,0,0,,0,37,27,260,9.63,2,,,38,64,67.5,50.5,,32,
247,Jeff King\KingJe00,CAR,TE,26,16,15,0,0,0,0,0,0,0,,0,33,25,200,8.00,3,,,38,62,65.5,49.5,,31,
248,Legedu Naanee\NaanLe00,SDG,WR,26,15,1,1,1,21,0,0,3,7,2.33,0,29,24,242,10.08,2,,,38,62,64.7,49.7,,97,
249,David Anderson\AndeDa01,HOU,WR,26,16,8,0,0,0,0,0,0,0,,0,53,38,370,9.74,0,,,37,75,78.0,56.0,,98,
250,Glen Coffee\CoffGl00,SFO,RB,22,14,2,0,0,0,0,0,83,226,2.72,1,18,11,76,6.91,0,,,36,47,50.2,41.7,,77,
